timestamp,x,y,z
1563815718539888,-0.489746,-0.126465,0.562012
1563815718554878,-0.52832,-0.145508,0.538086
1563815718585861,-0.568848,-0.159668,0.511719
1563815718600852,-0.615723,-0.182129,0.50293
1563815718616843,-0.644531,-0.199707,0.486328
1563815718638830,-0.677246,-0.210449,0.477539
1563815718659819,-0.698242,-0.222168,0.462891
1563815718674810,-0.715332,-0.231934,0.443848
1563815718729778,-0.761719,-0.233887,0.438477
1563815718731777,-0.770508,-0.243652,0.422852
1563815718739772,-0.777832,-0.25,0.407715
1563815718759761,-0.794434,-0.26709,0.404297
1563815718779750,-0.803223,-0.263672,0.398926
1563815718842713,-0.809082,-0.272949,0.395508
1563815718842713,-0.810059,-0.277832,0.383789
1563815718843712,-0.823242,-0.270508,0.383789
1563815718862701,-0.837402,-0.279785,0.381348
1563815718877693,-0.828125,-0.287109,0.389648
1563815718901679,-0.837402,-0.293457,0.337402
1563815718917670,-0.824707,-0.299316,0.331543
1563815718944655,-0.804688,-0.276855,0.415039
1563815718954649,-0.918457,-0.320313,0.291504
1563815718977636,-0.813477,-0.270508,0.40332
1563815718997623,-0.85498,-0.288574,0.341309
1563815719014615,-0.861816,-0.288574,0.352539
1563815719037601,-0.853516,-0.290527,0.361328
1563815719057591,-0.853027,-0.293945,0.366699
1563815719082575,-0.86084,-0.290039,0.368652
1563815719105562,-0.86084,-0.287109,0.369629
1563815719117558,-0.867188,-0.294434,0.366699
1563815719135545,-0.878418,-0.297852,0.368652
1563815719157535,-0.87793,-0.311035,0.373047
1563815719177521,-0.877441,-0.305176,0.379395
1563815719195511,-0.875488,-0.304199,0.377441
1563815719217498,-0.87207,-0.30127,0.383789
1563815719237487,-0.86084,-0.296875,0.383301
1563815719262472,-0.864746,-0.30127,0.38916
1563815719277464,-0.862793,-0.312988,0.389648
1563815719306448,-0.85498,-0.307129,0.381348
1563815719315442,-0.861816,-0.300293,0.381348
1563815719336429,-0.859863,-0.291504,0.383301
1563815719359416,-0.852051,-0.293945,0.382813
1563815719381404,-0.850098,-0.301758,0.384766
1563815719396396,-0.859375,-0.305664,0.382813
1563815719417383,-0.860352,-0.297363,0.387695
1563815719434374,-0.854492,-0.293945,0.39209
1563815719456361,-0.866699,-0.294434,0.394043
1563815719477349,-0.866699,-0.29541,0.400879
1563815719494339,-0.864746,-0.298828,0.397461
1563815719516327,-0.867676,-0.304199,0.410156
1563815719553305,-0.858887,-0.299316,0.406738
1563815719568296,-0.865234,-0.297852,0.411133
1563815719576293,-0.859863,-0.293945,0.408691
1563815719598279,-0.859863,-0.291016,0.411133
1563815719614271,-0.864746,-0.299805,0.410156
1563815719636258,-0.858887,-0.291016,0.40332
1563815719658246,-0.85791,-0.296875,0.408691
1563815719674246,-0.858398,-0.294434,0.405762
1563815719697223,-0.849609,-0.306152,0.401855
1563815719719210,-0.84375,-0.301758,0.407715
1563815719733202,-0.847656,-0.297852,0.405273
1563815719757189,-0.848145,-0.302246,0.40625
1563815719779176,-0.847656,-0.300293,0.40918
1563815719794168,-0.852539,-0.30957,0.395996
1563815719823150,-0.853027,-0.310547,0.409668
1563815719839142,-0.853027,-0.304199,0.405762
1563815719862129,-0.853027,-0.303223,0.40918
1563815719883116,-0.852539,-0.306641,0.411133
1563815719899108,-0.85498,-0.316895,0.408691
1563815719922094,-0.856445,-0.30957,0.403809
1563815719943082,-0.84668,-0.306641,0.405273
1563815719959073,-0.857422,-0.303711,0.409668
1563815719982060,-0.856445,-0.303223,0.410645
1563815720003048,-0.85498,-0.307617,0.401367
1563815720027034,-0.855957,-0.310059,0.401855
1563815720043024,-0.851074,-0.309082,0.407227
