timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1564164020591896,34,-24,-8,-23,-10,-1,2,3
1564164020591896,-63,-5,10,35,25,15,27,0
1564164020592395,-19,-8,-4,-4,-5,-8,-2,3
1564164020592395,78,11,3,4,2,-1,-6,6
1564164020593393,-65,-16,-8,-32,-22,-9,-16,-38
1564164020593393,-28,4,2,22,8,6,8,4
1564164020596887,105,9,7,-6,4,10,24,68
1564164020596887,-123,-16,-6,-23,-27,-26,-28,-46
1564164020603375,-50,-5,-13,41,22,3,-5,-5
1564164020603375,25,12,3,-13,-4,0,-6,-14
1564164020611859,-14,10,1,-11,-11,-2,-1,12
1564164020611859,127,5,-13,16,9,12,24,43
1564164020619844,-80,-14,-1,-9,-2,-7,-6,-39
1564164020619844,25,5,-7,-4,-10,-14,-23,-15
1564164020633319,-43,-27,-9,-19,-3,-5,-12,-21
1564164020633319,-7,-12,-4,0,0,3,5,15
1564164020644798,24,3,-4,3,-7,-6,-24,-7
1564164020644798,30,-13,-2,12,12,7,33,13
1564164020664761,-44,11,6,-28,-13,-4,-11,-2
1564164020664761,8,-12,-4,20,12,4,7,12
1564164020666260,10,62,20,7,5,10,22,12
1564164020666260,-29,-40,-13,7,-2,-12,-32,-14
1564164020685722,24,-1,-1,-5,-14,-3,6,-26
1564164020685722,-91,-3,5,22,14,8,15,16
1564164020720159,-49,-21,-8,-4,-14,-9,-7,-33
1564164020720159,-19,-8,4,15,16,6,-7,-6
1564164020720657,55,11,2,-15,-2,1,18,27
1564164020720657,44,44,10,11,0,5,5,-3
1564164020724650,-3,9,-2,-4,2,-1,-7,4
1564164020724650,-36,-28,8,-11,-4,5,16,-10
1564164020726147,41,0,-7,29,10,0,-13,7
1564164020726147,-19,-12,-5,-17,-9,-6,0,-9
1564164020739621,-9,21,16,-6,4,6,4,-4
1564164020739621,4,9,-13,-5,-12,-8,0,-11
1564164020741118,29,-31,11,11,13,10,9,31
1564164020741118,-81,16,0,-15,-12,-4,1,-14
1564164020753097,64,-25,-3,32,14,7,12,16
1564164020753097,-34,18,-9,-41,-13,-2,-7,-4
1564164020762080,55,9,11,17,6,0,-1,9
1564164020762080,85,10,-3,28,1,-2,0,18
1564164020768069,-104,-27,-10,-6,12,-2,-21,-38
1564164020768069,37,5,18,7,2,8,8,-1
1564164020791026,-7,-11,-18,-17,-15,-4,5,10
1564164020791026,-19,-16,6,15,8,-5,-17,-20
1564164020792025,10,25,3,-19,-13,-4,-4,12
1564164020792025,68,5,3,27,18,12,11,19
1564164020805499,-80,-18,-4,-7,-3,-4,-12,-38
1564164020805499,49,-5,-6,-33,-20,-7,2,12
1564164020812985,-2,-21,-22,9,-4,-9,-13,-10
1564164020812985,28,45,8,16,7,-8,4,20
1564164020828956,-108,-55,-12,-18,-20,-6,-16,-38
1564164020828956,15,-24,-12,-3,13,-6,-10,2
1564164020829456,71,22,9,-2,-7,2,16,18
1564164020829456,-66,4,-3,-5,-5,2,10,-15
1564164020851413,-9,11,-2,-14,-13,-11,-15,4
1564164020851413,-33,-17,15,30,10,4,-7,-22
1564164020851912,-6,-3,-13,-32,-3,-2,0,-3
1564164020851912,20,-9,-7,-11,-6,2,-3,-7
1564164020865389,-24,5,6,23,10,1,7,1
1564164020865389,37,2,0,-34,-8,2,0,17
1564164020873376,-69,-1,9,27,-2,1,4,-15
1564164020873376,28,-21,-7,-6,-1,-3,-11,3
1564164020890342,-31,23,-5,-37,-15,-2,-9,-21
1564164020890342,19,1,-2,30,17,16,31,29
1564164020890841,71,17,2,2,-2,-8,-14,12
1564164020890841,21,1,9,12,0,-6,0,22
1564164020911302,-25,-34,3,13,8,-5,-3,-38
