timestamp,x,y,z,w
1564164020265503,-0.0980225,0.0842285,0.343018,0.930359
1564164020288461,-0.0978394,0.0852051,0.343079,0.930298
1564164020310919,-0.0977783,0.0859375,0.343567,0.929993
1564164020333376,-0.0981445,0.0863037,0.344421,0.929626
1564164020348348,-0.0980225,0.0863037,0.345154,0.929382
1564164020370807,-0.0975952,0.0863647,0.34552,0.92926
1564164020393266,-0.0980225,0.0864868,0.345398,0.92926
1564164020408737,-0.0999756,0.086792,0.345764,0.928894
1564164020430695,-0.103088,0.0863647,0.346069,0.928467
1564164020462137,-0.107056,0.085022,0.346375,0.92804
1564164020468625,-0.110291,0.083374,0.346619,0.927734
1564164020492081,-0.112488,0.0819092,0.346313,0.927673
1564164020513542,-0.113892,0.0812378,0.346436,0.927551
1564164020528514,-0.115356,0.0806885,0.346313,0.927429
1564164020554965,-0.116943,0.0800171,0.345886,0.92749
1564164020581915,-0.118225,0.0797119,0.34552,0.92749
1564164020590898,-0.119324,0.0795898,0.345154,0.92749
1564164020598386,-0.120361,0.0794678,0.344971,0.927429
1564164020618847,-0.121033,0.079895,0.344788,0.927368
1564164020642802,-0.121704,0.0803223,0.344666,0.927307
1564164020665759,-0.122681,0.0803223,0.344727,0.927124
1564164020718161,-0.123657,0.0805664,0.344727,0.927002
1564164020719160,-0.124084,0.0809326,0.344727,0.92688
1564164020725152,-0.12439,0.0812378,0.344849,0.926758
1564164020740121,-0.124939,0.081604,0.344849,0.926697
1564164020761581,-0.12561,0.0819092,0.345032,0.926514
1564164020775555,-0.126221,0.0825195,0.345215,0.92627
1564164020798013,-0.126648,0.0827637,0.345276,0.926208
1564164020820476,-0.126709,0.0834351,0.345459,0.926025
1564164020835942,-0.126953,0.0839844,0.345642,0.925903
1564164020858401,-0.127563,0.0842285,0.345886,0.92572
1564164020889343,-0.128052,0.0842285,0.346008,0.925598
1564164020895831,-0.127869,0.0843506,0.345947,0.925598
1564164020918289,-0.127502,0.0847168,0.345886,0.925659
1564164020940749,-0.127625,0.0849609,0.346008,0.925598
1564164020963206,-0.128113,0.0848389,0.346191,0.925476
1564164020978178,-0.128113,0.0845337,0.346313,0.925415
1564164021000636,-0.127747,0.0846558,0.346313,0.925476
1564164021018603,-0.127686,0.0847168,0.346313,0.925476
1564164021038068,-0.128052,0.0847168,0.346313,0.925415
1564164021060525,-0.128357,0.0847168,0.346252,0.925415
1564164021075497,-0.128357,0.0847778,0.346252,0.925415
1564164021097957,-0.128357,0.0848389,0.346252,0.925415
1564164021120416,-0.128357,0.0848999,0.346313,0.925354
1564164021135885,-0.128357,0.0849609,0.346313,0.925354
1564164021165829,-0.128357,0.085022,0.346313,0.925354
1564164021180802,-0.128418,0.085144,0.346313,0.925354
1564164021195774,-0.128296,0.0852661,0.34613,0.925415
1564164021218232,-0.128235,0.0853271,0.345886,0.925537
1564164021243685,-0.128235,0.0853271,0.345642,0.925598
1564164021255662,-0.128174,0.0854492,0.345398,0.925659
1564164021278121,-0.128174,0.0855103,0.345215,0.92572
1564164021296587,-0.128357,0.0855713,0.345032,0.925781
1564164021315551,-0.12854,0.0857544,0.34491,0.925781
1564164021338010,-0.12854,0.0858154,0.34491,0.925781
1564164021355976,-0.128601,0.0858765,0.34491,0.925781
1564164021375439,-0.128723,0.0858765,0.34491,0.925781
1564164021398397,-0.128784,0.0858765,0.344849,0.925781
1564164021415865,-0.128784,0.0858765,0.344849,0.925781
1564164021435827,-0.128967,0.0856934,0.344849,0.925781
1564164021458285,-0.129028,0.0854492,0.344788,0.925781
1564164021476253,-0.128967,0.0852661,0.344727,0.925842
1564164021495717,-0.128906,0.085144,0.344666,0.925903
1564164021521169,-0.128906,0.0848389,0.344604,0.925964
1564164021536142,-0.128784,0.0845947,0.344482,0.926025
1564164021555604,-0.128784,0.0842896,0.34436,0.926086
1564164021578064,-0.12854,0.0840454,0.344238,0.926208
1564164021596031,-0.128296,0.0837402,0.344177,0.92627
1564164021615494,-0.128113,0.0834961,0.344177,0.926331
1564164021637952,-0.128113,0.083313,0.344177,0.926331
1564164021655919,-0.128052,0.0830688,0.344116,0.926392
1564164021676880,-0.12793,0.0829468,0.344055,0.926453
1564164021700337,-0.127686,0.0828857,0.343933,0.926514
1564164021721298,-0.127502,0.0828247,0.343872,0.926575
1564164021737767,-0.127502,0.0827026,0.343811,0.926636
1564164021760225,-0.127502,0.0827026,0.343811,0.926575
1564164021774698,-0.127502,0.0826416,0.34375,0.926636
1564164021798155,-0.12738,0.0825195,0.343689,0.926697
1564164021820115,-0.127258,0.0822754,0.343567,0.926758
1564164021834587,-0.127136,0.0820923,0.343445,0.92688
1564164021858043,-0.127075,0.0820313,0.343323,0.926941
1564164021880502,-0.126953,0.0818481,0.343201,0.927002
1564164021894476,-0.126831,0.081665,0.343018,0.927124
1564164021917434,-0.126709,0.081543,0.342834,0.927185
1564164021940390,-0.126587,0.0814209,0.342651,0.927307
1564164021954863,-0.126587,0.0811768,0.34259,0.927307
1564164021977821,-0.126526,0.0808716,0.342529,0.927368
1564164022001776,-0.12616,0.0805054,0.342529,0.92749
1564164022014752,-0.125732,0.0803223,0.342468,0.927551
1564164022037720,-0.125366,0.0802002,0.342468,0.927612
1564164022060168,-0.125244,0.0802612,0.342529,0.927612
1564164022075140,-0.125183,0.0802002,0.34259,0.927612
1564164022097598,-0.124939,0.0802002,0.34259,0.927673
1564164022120057,-0.124573,0.0800781,0.342468,0.927734
1564164022141517,-0.124207,0.0801392,0.342407,0.927795
1564164022157986,-0.12384,0.0799561,0.342346,0.927917
1564164022180444,-0.123657,0.079895,0.342224,0.927979
1564164022201405,-0.123474,0.0796509,0.342163,0.92804
1564164022219380,-0.123474,0.0794067,0.342041,0.928101
1564164022240333,-0.123535,0.0790405,0.342041,0.928101
1564164022262791,-0.123413,0.0789185,0.342041,0.928162
1564164022278762,-0.12323,0.0787964,0.342041,0.928223
1564164022300222,-0.123291,0.0786133,0.342041,0.928223
1564164022322680,-0.123474,0.0784302,0.34198,0.928223
1564164022337652,-0.123535,0.0783081,0.34198,0.928223
1564164022360110,-0.123535,0.0783081,0.34198,0.928223
1564164022381570,-0.123535,0.0783691,0.34198,0.928223
1564164022404028,-0.123779,0.078186,0.342102,0.928162
1564164022420497,-0.123901,0.078064,0.342224,0.928101
1564164022441458,-0.123535,0.078064,0.342224,0.928162
1564164022457930,-0.123535,0.078064,0.342224,0.928101
1564164022480386,-0.123718,0.078186,0.342346,0.92804
1564164022501351,-0.124146,0.078186,0.342407,0.927979
1564164022517820,-0.124146,0.0782471,0.342407,0.927979
1564164022540275,-0.124268,0.0782471,0.342529,0.927917
1564164022562733,-0.124634,0.0783691,0.342651,0.927795
1564164022577706,-0.125061,0.0784912,0.342957,0.927612
1564164022600167,-0.125488,0.0787354,0.343323,0.927429
1564164022630108,-0.125977,0.0784912,0.343811,0.927185
1564164022637594,-0.126709,0.078186,0.344482,0.92688
1564164022660551,-0.127014,0.0784302,0.345154,0.926575
1564164022682511,-0.127258,0.0787964,0.345703,0.92627
1564164022696984,-0.127991,0.0787964,0.346313,0.925964
1564164022720441,-0.128418,0.0784302,0.346802,0.92572
1564164022742901,-0.128601,0.0775757,0.347229,0.925659
1564164022756872,-0.12854,0.0768433,0.347534,0.925598
1564164022780329,-0.128662,0.0761719,0.347717,0.925537
1564164022802788,-0.129089,0.0756226,0.347778,0.925537
1564164022817263,-0.129211,0.0751343,0.347839,0.925537
1564164022840218,-0.129211,0.074646,0.347778,0.925598
1564164022862676,-0.12915,0.0742188,0.347717,0.925659
1564164022877149,-0.129211,0.0737305,0.347595,0.92572
1564164022907593,-0.129333,0.0735474,0.347473,0.925781
1564164022922565,-0.129395,0.0734253,0.347351,0.925781
1564164022937042,-0.129456,0.0733032,0.347229,0.925842
1564164022960496,-0.129456,0.0733643,0.347229,0.925842
1564164022982955,-0.129456,0.0733643,0.347229,0.925842
1564164022996926,-0.129517,0.0732422,0.347107,0.925903
1564164023020383,-0.129639,0.0730591,0.346924,0.925964
1564164023042844,-0.129639,0.072876,0.34668,0.926086
1564164023063801,-0.129517,0.072998,0.346497,0.926147
1564164023080275,-0.129517,0.0731812,0.346191,0.92627
1564164023108718,-0.129639,0.0731812,0.345947,0.926331
1564164023123695,-0.129517,0.0730591,0.345642,0.926453
1564164023140161,-0.129211,0.072937,0.345215,0.926697
1564164023162619,-0.128967,0.0728149,0.344849,0.92688
1564164023183580,-0.129089,0.0724487,0.344482,0.927002
1564164023200049,-0.129089,0.0721436,0.344055,0.927185
1564164023223007,-0.128601,0.0719604,0.343628,0.927429
1564164023243967,-0.128174,0.0716553,0.343262,0.927612
1564164023260436,-0.127869,0.0714722,0.343018,0.927795
1564164023282895,-0.127319,0.0712891,0.342651,0.92804
1564164023303859,-0.126404,0.071167,0.342163,0.928345
1564164023320326,-0.125122,0.0709839,0.341858,0.92865
1564164023344282,-0.123901,0.0704346,0.341492,0.928955
1564164023363745,-0.12323,0.0697632,0.341309,0.929199
1564164023380215,-0.123291,0.0688477,0.34137,0.929199
1564164023402677,-0.123108,0.0679321,0.341431,0.929321
1564164023423634,-0.122375,0.0672607,0.341431,0.929443
1564164023440103,-0.121521,0.0670166,0.341431,0.929565
1564164023463060,-0.120972,0.0668945,0.341553,0.929626
1564164023485020,-0.121094,0.0664673,0.341736,0.929565
1564164023500491,-0.121277,0.0658569,0.341858,0.929504
1564164023522949,-0.121033,0.0654297,0.341858,0.929565
1564164023545408,-0.120422,0.0653076,0.341736,0.929688
1564164023560380,-0.120178,0.0651855,0.341858,0.929688
1564164023582839,-0.120422,0.0649414,0.342041,0.929626
1564164023605297,-0.120483,0.0646973,0.342224,0.929565
1564164023620767,-0.120178,0.0647583,0.342224,0.929626
1564164023642729,-0.119995,0.0648804,0.342285,0.929626
1564164023665683,-0.119995,0.0648804,0.342285,0.929626
1564164023679657,-0.119995,0.0649414,0.342285,0.929626
1564164023703613,-0.119995,0.0649414,0.342285,0.929626
1564164023725073,-0.119995,0.0649414,0.342285,0.929626
1564164023740045,-0.120056,0.0649414,0.342285,0.929626
1564164023763005,-0.120056,0.0650024,0.342285,0.929626
1564164023792947,-0.120056,0.0650024,0.342285,0.929565
1564164023799438,-0.120056,0.0650024,0.342285,0.929565
1564164023823391,-0.120056,0.0650024,0.342285,0.929565
1564164023845351,-0.120056,0.0650024,0.342285,0.929565
1564164023859824,-0.120056,0.0650635,0.342285,0.929565
1564164023882781,-0.120056,0.0650635,0.342285,0.929565
1564164023905239,-0.120178,0.0646973,0.342285,0.929565
1564164023919712,-0.120178,0.0643921,0.342224,0.929626
1564164023942669,-0.120178,0.0643921,0.342224,0.929626
1564164023965147,-0.120056,0.06427,0.342224,0.929688
1564164023986588,-0.120056,0.0638428,0.342163,0.929749
1564164024002558,-0.119812,0.0633545,0.342041,0.92981
1564164024025516,-0.119141,0.0628662,0.341797,0.930054
1564164024046476,-0.118286,0.0625,0.34137,0.930298
1564164024070432,-0.117188,0.0618896,0.341187,0.930542
1564164024085403,-0.115417,0.0613403,0.341125,0.930847
1564164024106365,-0.113403,0.0615234,0.340759,0.931213
1564164024122835,-0.111755,0.0619507,0.340454,0.931519
1564164024145295,-0.111816,0.0617065,0.340454,0.931519
1564164024166253,-0.11261,0.0604248,0.340393,0.931519
1564164024182724,-0.11261,0.0591431,0.340271,0.931641
1564164024205182,-0.112061,0.0581055,0.340271,0.931763
1564164024226143,-0.111389,0.057251,0.340149,0.931946
1564164024243110,-0.110413,0.0565186,0.339722,0.932251
1564164024265070,-0.108948,0.0563354,0.339233,0.932617
1564164024286531,-0.107605,0.0567017,0.339111,0.9328
1564164024302501,-0.107117,0.0574341,0.338989,0.932861
1564164024325458,-0.107117,0.0577393,0.338501,0.933044
1564164024346439,-0.106628,0.0581055,0.338623,0.933044
1564164024362888,-0.105225,0.0579224,0.338989,0.933044
1564164024385347,-0.104004,0.057251,0.339111,0.933228
1564164024406326,-0.103333,0.0565186,0.339355,0.933228
1564164024422777,-0.102295,0.055603,0.339478,0.93335
1564164024445236,-0.101746,0.0542603,0.339722,0.933411
1564164024467693,-0.102112,0.0522461,0.340088,0.93335
1564164024482666,-0.102051,0.0506592,0.340515,0.933289
1564164024505125,-0.101257,0.0501099,0.340393,0.933411
1564164024527585,-0.100464,0.0504761,0.340149,0.933594
1564164024543068,-0.0994263,0.0515747,0.340576,0.933472
1564164024565012,-0.0985107,0.0518799,0.341309,0.933289
1564164024587969,-0.0980225,0.0529785,0.341309,0.933289
1564164024593001,-0.0960083,0.0552368,0.341797,0.933167
1564164024609430,-0.0936279,0.0571899,0.342773,0.932983
1564164024630932,-0.0928345,0.0585327,0.343262,0.932739
1564164024653351,-0.0923462,0.0593872,0.343262,0.932739
1564164024668356,-0.0916748,0.0608521,0.343628,0.932617
1564164024690816,-0.0903931,0.062561,0.344116,0.932434
1564164024713277,-0.0888062,0.0644531,0.344238,0.932434
1564164024729712,-0.0881348,0.0655518,0.344299,0.932373
1564164024750709,-0.0889282,0.0653076,0.344604,0.93219
1564164024774625,-0.0895386,0.0651855,0.344971,0.932007
1564164024788107,-0.0889893,0.0655518,0.34491,0.932068
1564164024810595,-0.0880127,0.0662231,0.344971,0.932068
1564164024833515,-0.0879517,0.0662231,0.344971,0.932068
1564164024850984,-0.0886841,0.0662842,0.345154,0.931946
1564164024870947,-0.0893555,0.06604,0.345276,0.931885
1564164024901421,-0.0892944,0.06604,0.345276,0.931885
1564164024909874,-0.0886841,0.0662842,0.345215,0.931946
1564164024932331,-0.0882568,0.0662842,0.345154,0.932007
1564164024953329,-0.088562,0.065918,0.345276,0.931946
1564164024968301,-0.0889893,0.0652466,0.345337,0.931946
1564164024990761,-0.0890503,0.0647583,0.345215,0.932007
1564164025013217,-0.088501,0.0645142,0.345093,0.932129
1564164025029665,-0.0884399,0.06427,0.345032,0.932129
